CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM,optype
Bergen,1760,Glen Rock Boro,53012151,2473,21441,56,52944004,2509,21099,51,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,1860,Hackensack City,112952819,5756,19623,43,116073133,5769,20119,42,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,2050,Harrington Park Boro,14139697,652,21694,46,14769002,631,23406,48,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,2080,Hasbrouck Heights Boro,33979879,1896,17921,12,36243696,1890,19175,17,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,2090,Haworth Boro,10144224,429,23638,57,10132459,417,24295,57,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,2180,Hillsdale Boro,24674625,1192,20706,53,25161691,1199,20991,49,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,2200,Ho Ho Kus Boro,15988564,874,18286,17,16436390,865,19005,14,"J. K-12|K-8,401-750",JK-12K-8401-750,
Bergen,2620,Leonia Boro,37351845,1834,20369,50,38700567,1841,21025,50,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,2710,Little Ferry Boro,22434674,1363,16459,10,24341636,1318,18467,24,"K. K-12|K-8,751+",KK-12K-8751plus,
Bergen,2740,Lodi Borough,68510520,3398,20160,45,60804232,3315,18342,16,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,2860,Lyndhurst Twp,44102779,2434,18124,19,47092378,2509,18773,21,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,2900,Mahwah Twp,68687260,3034,22642,66,72784306,2976,24455,68,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,3060,Maywood Boro,22038209,1238,17800,19,23038493,1261,18266,20,"K. K-12|K-8,751+",KK-12K-8751plus,
Bergen,3170,Midland Park Boro,23857380,992,24059,41,25546100,974,26234,46,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,3330,Montvale Boro,18120292,1010,17946,23,19402099,1005,19311,32,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,3350,Moonachie Boro,9036757,415,21756,41,9121263,427,21342,31,"I. K-12|K-8,0-400",IK-12K-80-400,
Bergen,3550,New Milford Boro,39164952,2016,19432,37,41117763,1991,20649,46,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,3600,North Arlington Boro,26971065,1788,15081,1,28053063,1789,15682,1,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,3700,Northern Highlands Reg,34555935,1376,25114,37,34222922,1394,24549,25,"G. G9-12|7-12,9-12",GG9-127-129-12,
Bergen,3710,Northern Valley Regional,62948407,2538,24799,36,65267533,2336,27945,41,"G. G9-12|7-12,9-12",GG9-127-129-12,
Bergen,3730,Northvale Boro,11330629,541,20955,40,11776452,540,21806,40,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,3740,Norwood Boro,11776095,598,19691,30,12060987,645,18711,13,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,3760,Oakland Boro,31950592,1497,21338,61,33342533,1455,22915,65,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,3850,Old Tappan Boro,15160208,735,20641,36,15791298,710,22228,45,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,3870,Oradell Boro,12650187,764,16556,8,13816420,779,17746,9,A. K-6|K-6,AK-6K-6,
Bergen,3910,Palisades Park,28266483,1657,17057,7,28916762,1696,17047,5,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,3930,Paramus Boro,89421983,3938,22709,77,92583061,3868,23938,84,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,3940,Park Ridge Boro,30573261,1233,24788,45,32856728,1251,26256,47,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,3960,Pascack Valley Regional,54730290,2093,26145,39,55817936,2065,27028,37,"G. G9-12|7-12,9-12",GG9-127-129-12,
Bergen,4300,Ramapo-Indian Hill Reg,57253666,2336,24510,32,58465807,2317,25235,32,"G. G9-12|7-12,9-12",GG9-127-129-12,
Bergen,4310,Ramsey Boro,62528247,2871,21776,59,65293031,2817,23176,64,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,4370,Ridgefield Boro,42045021,1721,24429,42,43527755,1699,25624,42,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,4380,Ridgefield Park Twp,43382727,2421,17918,17,42070654,2364,17795,11,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,4390,Ridgewood Village,110053215,5752,19135,34,117443609,5734,20481,45,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,4405,River Dell Regional,35416634,1663,21295,14,37757544,1643,22979,17,"F. G7-12|7-12,9-12",FG7-127-129-12,
Bergen,4410,River Edge Boro,19806453,1178,16817,10,20682047,1195,17314,7,A. K-6|K-6,AK-6K-6,
Bergen,4430,River Vale Twp,24405472,1202,20309,48,25392853,1181,21506,54,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,4470,Rochelle Park Twp,13690514,659,20764,37,13353389,643,20785,34,"J. K-12|K-8,401-750",JK-12K-8401-750,
Bergen,4500,Rockleigh,772731,36,21465,7,716118,35,20461,7,K-12|Non-Operating,,
Bergen,4600,Rutherford Boro,49164605,2549,19289,34,49654012,2573,19298,26,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,4610,Saddle Brook Twp,36507722,1759,20757,33,39097033,1737,22509,34,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,4620,Saddle River Boro,9144035,400,22839,45,9649926,383,25168,49,H. K-12|K-6,HK-12K-6,
Bergen,4870,South Hackensack Twp,9232327,357,25854,61,9031774,380,23789,47,"I. K-12|K-8,0-400",IK-12K-80-400,
Bergen,5150,Teaneck Twp,98012825,3717,26372,95,100035250,3621,27627,94,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,5160,Tenafly Boro,76176891,3675,20728,60,77250029,3693,20920,53,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,5330,Upper Saddle River Boro,25777504,1238,20818,54,26655485,1213,21969,58,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,5410,Waldwick Boro,32292221,1610,20063,29,33856771,1610,21034,27,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,5430,Wallington Boro,21804895,1326,16450,2,22846298,1326,17230,7,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,5755,Westwood Regional,55088051,2782,19803,42,58788122,2821,20840,49,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,5830,Wood-Ridge Boro,22622573,1219,18552,18,23253677,1256,18517,12,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,5880,Woodcliff Lake Boro,17814559,772,23084,54,19313482,777,24864,59,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,5920,Wyckoff Twp,44107015,2097,21032,58,45738428,2082,21966,57,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,6013,Bergen Arts And Sciences Charter School,15340288,968,15841,29,15679105,1100,14258,17,O. Charter,OCharter,
Bergen,6430,Englewood On The Palisad,4395558,208,21183,78,4649169,245,18992,69,O. Charter,OCharter,
Bergen,7890,Teaneck Community Cs,5445971,306,17803,56,5824935,320,18209,65,O. Charter,OCharter,
Burlington,200,Bass River Twp,2754989,110,25164,54,2730410,107,25506,51,A. K-6|K-6,AK-6K-6,
Burlington,380,Beverly City,7542910,349,21600,38,7432525,349,21291,30,"I. K-12|K-8,0-400",IK-12K-80-400,
Burlington,475,Bordentown Regional,46790804,2534,18466,22,47675648,2530,18841,22,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Burlington,600,Burlington City,50030405,1776,28168,49,49546278,1741,28460,49,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Burlington,605,Burlington Co Spec Serv,45093186,690,65329,6,44274743,652,67881,5,P. CSSD,PCSSD,
Burlington,610,Burlington Co Vocational,47781394,2030,23534,13,48685125,1978,24617,11,Q. County Voc,QCountyVoc,
Burlington,620,Burlington Twp,73861890,3987,18524,27,75413033,3928,19200,29,"N. K-12|K-12,3500+",NK-12K-123500plus,
Burlington,830,Chesterfield Twp,12761573,767,16630,9,13112948,770,17035,6,A. K-6|K-6,AK-6K-6,
Burlington,840,Cinnaminson Twp,49404077,2488,19856,43,51833933,2511,20647,45,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Burlington,1030,Delanco Twp,9775363,513,19063,26,10086925,515,19591,20,"J. K-12|K-8,401-750",JK-12K-8401-750,
Burlington,1060,Delran Twp,52057857,3061,17006,8,51993408,3037,17119,8,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Burlington,1250,Eastampton Twp,12403017,610,20348,35,12242101,609,20108,28,"D. K-8|K-8,401-750",DK-8K-8401-750,
Burlington,1280,Edgewater Park Twp,18514238,1055,17549,17,19104712,1052,18164,18,"K. K-12|K-8,751+",KK-12K-8751plus,
Burlington,1420,Evesham Twp,86336939,4500,19185,36,88147599,4452,19801,36,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,1520,Florence Twp,31761456,1639,19384,21,31908818,1622,19669,19,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Burlington,1910,Hainesport Twp,11114820,630,17633,8,11512800,631,18236,7,"D. K-8|K-8,401-750",DK-8K-8401-750,
Burlington,2610,Lenape Regional,168868288,6859,24622,35,169824467,6858,24764,27,"G. G9-12|7-12,9-12",GG9-127-129-12,
Burlington,2850,Lumberton Twp,27696176,1404,19723,43,27498451,1373,20034,38,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,2960,Mansfield Twp,13344943,646,20644,36,N.R.,N.R.,N.R.,,A. K-6|K-6,AK-6K-6,
Burlington,3010,Maple Shade Twp,41743477,2217,18832,28,42720643,2195,19466,28,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Burlington,3070,Medford Lakes Boro,8361415,548,15260,1,8651805,542,15950,2,"D. K-8|K-8,401-750",DK-8K-8401-750,
Burlington,3080,Medford Twp,54658580,2760,19805,44,56920309,2761,20616,45,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,3360,Moorestown Twp,79989455,3952,20240,56,83272651,3917,21258,60,"N. K-12|K-12,3500+",NK-12K-123500plus,
Burlington,3430,Mount Holly Twp,21365084,1018,20988,57,23117268,1029,22456,62,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,3440,Mount Laurel Twp,78135024,4239,18434,28,79600830,4252,18720,27,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,3540,New Hanover Twp,6654707,245,27189,66,6608775,243,27172,61,"I. K-12|K-8,0-400",IK-12K-80-400,
Burlington,3650,North Hanover Twp,29060732,1199,24234,51,29715949,1180,25194,50,A. K-6|K-6,AK-6K-6,
Burlington,3690,Northern Burlington Reg,41463774,2058,20148,7,42089112,2130,19764,4,"F. G7-12|7-12,9-12",FG7-127-129-12,
Burlington,3920,Palmyra Boro,18295438,960,19063,19,19093155,912,20928,26,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Burlington,4050,Pemberton Twp,124176650,5163,24049,88,130404507,5078,25678,92,"N. K-12|K-12,3500+",NK-12K-123500plus,
Burlington,4320,Rancocas Valley Regional,39738046,2138,18589,4,42204223,2181,19355,3,"G. G9-12|7-12,9-12",GG9-127-129-12,
Burlington,4450,Riverside Twp,26217361,1450,18082,14,26838991,1449,18517,12,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Burlington,4460,Riverton,6134436,373,16463,2,6228729,350,17797,7,"I. K-12|K-8,0-400",IK-12K-80-400,
Burlington,4740,Shamong Twp,15819291,776,20379,49,16177913,782,20698,46,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,4930,Southampton Twp,15530045,704,22047,48,15897183,723,21988,41,"D. K-8|K-8,401-750",DK-8K-8401-750,
Burlington,5010,Springfield Twp,5268909,226,23340,48,5771458,239,24165,47,A. K-6|K-6,AK-6K-6,
Burlington,5130,Tabernacle Twp,15709126,749,20987,41,16800130,720,23350,47,"D. K-8|K-8,401-750",DK-8K-8401-750,
Burlington,5490,Washington Twp,2393257,93,25734,11,1916335,84,22814,9,K-12|Non-Operating,,
Burlington,5720,Westampton,15396733,997,15445,3,15651882,990,15812,6,"E. K-8|K-8,751+",EK-8K-8751plus,
Burlington,5805,Willingboro Twp,82496042,3813,21636,57,84320294,3786,22269,60,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Burlington,5890,Woodland Twp,3138886,156,20099,27,3277181,151,21697,34,"C. K-8|K-8,0-400",CK-8K-80-400,
Burlington,6026,Riverbank Charter School,1884706,142,13263,11,1717940,143,12005,5,O. Charter,OCharter,
Burlington,6076,Benjamin Banneker Prep Cs,2495614,152,16419,36,2754484,178,15483,30,O. Charter,OCharter,
Camden,150,Audubon Boro,27773625,1568,17717,10,28682404,1568,18292,10,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Camden,190,Barrington Boro,14921127,846,17642,9,15517865,849,18285,8,"J. K-12|K-8,401-750",JK-12K-8401-750,
Camden,260,Bellmawr Boro,19003243,1226,15503,5,18768562,1234,15205,3,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,330,Berlin Boro,13192058,853,15460,4,13491617,828,16289,7,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,340,Berlin Twp,16948817,806,21040,42,17166414,812,21131,36,"J. K-12|K-8,401-750",JK-12K-8401-750,
Camden,390,Black Horse Pike Regional,78435196,3817,20551,9,80143725,3748,21383,10,"G. G9-12|7-12,9-12",GG9-127-129-12,
Camden,580,Brooklawn Boro,7015987,388,18070,12,6839623,372,18393,9,"I. K-12|K-8,0-400",IK-12K-80-400,
Camden,680,Camden City,316863502,10758,29455,98,308060718,9889,31151,98,"N. K-12|K-12,3500+",NK-12K-123500plus,
Camden,700,Camden County Vocational,46691409,2034,22956,12,50239184,1987,25280,14,Q. County Voc,QCountyVoc,
Camden,800,Cherry Hill Twp,205383110,11283,18202,23,214092302,11244,19041,24,"N. K-12|K-12,3500+",NK-12K-123500plus,
Camden,880,Clementon Boro,12482855,629,19860,33,12779674,589,21705,39,"J. K-12|K-8,401-750",JK-12K-8401-750,
Camden,940,Collingswood Boro,38211592,1963,19463,38,39170684,1970,19880,35,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,1255,Eastern Camden County Reg,39122326,2057,19024,5,41658724,2053,20288,7,"G. G9-12|7-12,9-12",GG9-127-129-12,
Camden,1720,Gibbsboro Boro,5282612,257,20519,29,5196511,257,20238,23,"C. K-8|K-8,0-400",CK-8K-80-400,
Camden,1770,Gloucester City,57543085,2289,25139,71,59786969,2336,25598,71,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,1780,Gloucester Twp,116509774,6514,17885,21,120573185,6488,18584,25,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,1799,Kipp Cooper Norcross,11323200,489,23163,82,16833982,852,19749,74,O. Charter,OCharter,
Camden,1801,Camden Prep,6622126,298,22258,80,7871789,376,20928,77,O. Charter,OCharter,
Camden,1802,Mastery Schools Of Camden,24570500,1385,17747,54,31118686,1645,18922,68,O. Charter,OCharter,
Camden,1880,Haddon Heights Boro,23937215,1312,18244,16,24262850,1361,17830,8,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Camden,1890,Haddon Twp,39027255,2114,18459,21,41169582,2091,19693,30,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,1900,Haddonfield,43440317,2678,16224,3,42108172,2701,15591,1,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,2130,Hi Nella,1985121,141,14079,1,2557353,137,18667,5,K-12|Non-Operating,,
Camden,2540,Laurel Springs Boro,5529213,342,16149,5,5590411,341,16393,3,H. K-12|K-6,HK-12K-6,
Camden,2560,Lawnside Boro,9332121,445,20966,32,9741979,468,20840,29,"I. K-12|K-8,0-400",IK-12K-80-400,
Camden,2670,Lindenwold Boro,48133265,2838,16960,6,50785004,2825,17977,14,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,2890,Magnolia Boro,7798348,437,17851,12,8714904,440,19793,22,"D. K-8|K-8,401-750",DK-8K-8401-750,
Camden,3110,Merchantville Boro,7952931,433,18364,19,8382683,462,18131,4,"J. K-12|K-8,401-750",JK-12K-8401-750,
Camden,3420,Mount Ephraim Boro,11656558,623,18713,21,11644899,624,18668,11,"J. K-12|K-8,401-750",JK-12K-8401-750,
Camden,3770,Oaklyn Boro,7981793,475,16802,4,8289005,447,18539,14,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Camden,4060,Pennsauken Twp,100483037,5146,19527,41,103312941,4937,20927,54,"N. K-12|K-12,3500+",NK-12K-123500plus,
Camden,4110,Pine Hill Boro,39187015,1940,20205,49,40107524,1900,21114,52,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Camden,4590,Runnemede Boro,14908611,871,17108,15,14223224,869,16376,8,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,4790,Somerdale Boro,8870831,517,17169,6,9021575,496,18196,6,"D. K-8|K-8,401-750",DK-8K-8401-750,
Camden,5035,Sterling High School Dist,17243239,979,17619,3,19086131,966,19765,5,"G. G9-12|7-12,9-12",GG9-127-129-12,
Camden,5080,Stratford Boro,15880942,854,18597,30,16258334,881,18453,22,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,5400,Voorhees Twp,57121854,2977,19187,37,54345376,2951,18414,21,"E. K-8|K-8,751+",EK-8K-8751plus,
Camden,5560,Waterford Twp,29359380,1633,17975,17,30121733,1557,19345,18,H. K-12|K-6,HK-12K-6,
Camden,5820,Winslow Twp,115634431,4966,23286,83,110348267,4958,22255,70,"N. K-12|K-12,3500+",NK-12K-123500plus,
Camden,5900,Woodlynne Boro,9767222,587,16639,3,9984755,572,17451,6,"I. K-12|K-8,0-400",IK-12K-80-400,
Camden,6067,Kingdom Cs Of Leadership,2684229,197,13660,15,2964286,204,14567,19,O. Charter,OCharter,
Camden,6086,Hope Community Cs,3110318,175,17794,55,3275781,190,17277,53,O. Charter,OCharter,
Camden,6107,Camden's Promise Charter School,N.R.,N.R.,N.R.,,33616400,1896,17735,60,O. Charter,OCharter,
Camden,6232,Eco Charter School,3651845,181,20232,73,3523634,143,24624,86,O. Charter,OCharter,
Camden,6240,Freedom Prep Charter School,14147393,801,17671,51,14694000,812,18092,62,O. Charter,OCharter,
Camden,7109,Leap Academy University,25816521,1432,18032,59,26123501,1545,16905,47,O. Charter,OCharter,
Cape May,170,Avalon Boro,4530608,75,60207,75,4093131,67,61489,75,"I. K-12|K-8,0-400",IK-12K-80-400,
Cape May,710,Cape May City,3895206,191,20386,32,4151212,199,20881,31,A. K-6|K-6,AK-6K-6,
Cape May,715,Cape May Co Special Serv,13347637,239,55841,4,13471605,233,57782,3,P. CSSD,PCSSD,
Cape May,720,Cape May Co Vocational,16716412,691,24177,14,17781222,694,25636,15,Q. County Voc,QCountyVoc,
Cape May,730,Cape May Point,104287,4,26072,12,69616,3,23205,10,K-12|Non-Operating,,
Cape May,1080,Dennis Twp,16830020,664,25357,63,18474054,693,26646,63,"J. K-12|K-8,401-750",JK-12K-8401-750,
Cape May,2820,Lower Cape May Regional,33183156,1396,23774,27,34033014,1374,24770,28,"F. G7-12|7-12,9-12",FG7-127-129-12,
Cape May,2840,Lower Twp,31369123,1755,17870,15,32022106,1696,18879,17,A. K-6|K-6,AK-6K-6,
Cape May,3130,Middle Twp,50947514,2565,19863,44,51520094,2605,19775,32,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Cape May,3680,North Wildwood City,9463447,322,29420,70,9790024,286,34213,72,"I. K-12|K-8,0-400",IK-12K-80-400,
Cape May,3780,Ocean City,46792197,2133,21939,61,47413207,2138,22176,59,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Cape May,4700,Sea Isle City,2312404,91,25411,10,2342679,79,29843,12,H. K-12|K-6,HK-12K-6,
Cape May,5060,Stone Harbor Boro,3246130,84,38451,73,3199365,92,34679,73,"I. K-12|K-8,0-400",IK-12K-80-400,
Cape May,5340,Upper Twp,37202358,2075,17929,22,40046078,2045,19581,35,"K. K-12|K-8,751+",KK-12K-8751plus,
Cape May,5610,West Cape May Boro,1890006,84,22386,42,1876032,96,19530,20,A. K-6|K-6,AK-6K-6,
